diver,trip,predict
3,1,0.855156922696,0.144843077304
3,2,0.941964178196,0.0580358218041
3,3,0.856484676174,0.143515323826
3,4,0.781358965661,0.218641034339
3,5,0.841406928529,0.158593071471
3,6,0.847557299477,0.152442700523
3,7,0.794487308443,0.205512691557
3,8,0.782992972569,0.217007027431
3,9,0.823351446149,0.176648553851
3,10,0.673625386036,0.326374613964
3,11,0.775297545134,0.224702454866
3,12,0.757450463939,0.242549536061
3,13,0.77262297025,0.22737702975
3,14,0.734823800578,0.265176199422
3,15,0.733368028396,0.266631971604
3,16,0.782820812836,0.217179187164
3,17,0.770197297943,0.229802702057
3,18,0.753228592355,0.246771407645
3,19,0.843246116964,0.156753883036
3,20,0.67337355011,0.32662644989
3,21,0.861231351569,0.138768648431
3,22,0.800944693985,0.199055306015
3,23,0.674180347124,0.325819652876
3,24,0.609075817306,0.390924182694
3,25,0.757474009855,0.242525990145
3,26,0.720075120932,0.279924879068
3,27,0.73329864888,0.26670135112
3,28,0.853331760094,0.146668239906
3,29,0.840633148004,0.159366851996
3,30,0.809332376672,0.190667623328
3,31,0.808393400062,0.191606599938
3,32,0.843056181968,0.156943818032
3,33,0.816441575909,0.183558424091
3,34,0.847872910841,0.152127089159
3,35,0.670986638089,0.329013361911
3,36,0.841910487996,0.158089512004
3,37,0.689298773091,0.310701226909
3,38,0.843604323032,0.156395676968
3,39,0.802785311505,0.197214688495
3,40,0.784234091034,0.215765908966
3,41,0.787018655678,0.212981344322
3,42,0.785137627707,0.214862372293
3,43,0.777907770203,0.222092229797
3,44,0.872196493351,0.127803506649
3,45,0.831084158856,0.168915841144
3,46,0.894250221675,0.105749778325
3,47,0.770078194356,0.229921805644
3,48,0.83381251945,0.16618748055
3,49,0.797675010251,0.202324989749
3,50,0.741073913178,0.258926086822
3,51,0.661367461546,0.338632538454
3,52,0.875715145507,0.124284854493
3,53,0.796655671541,0.203344328459
3,54,0.845170730515,0.154829269485
3,55,0.72944464614,0.27055535386
3,56,0.921101785174,0.0788982148263
3,57,0.842277976074,0.157722023926
3,58,0.866913694195,0.133086305805
3,59,0.86014997798,0.13985002202
3,60,0.828184368653,0.171815631347
3,61,0.623642622238,0.376357377762
3,62,0.881075412872,0.118924587128
3,63,0.799587107702,0.200412892298
3,64,0.889085259308,0.110914740692
3,65,0.853746063394,0.146253936606
3,66,0.859767551536,0.140232448464
3,67,0.637188519553,0.362811480447
3,68,0.832438842607,0.167561157393
3,69,0.855297508941,0.144702491059
3,70,0.842061447544,0.157938552456
3,71,0.784898083066,0.215101916934
3,72,0.765022666766,0.234977333234
3,73,0.717086340488,0.282913659512
3,74,0.866286958674,0.133713041326
3,75,0.843145221369,0.156854778631
3,76,0.789582812772,0.210417187228
3,77,0.867391616982,0.132608383018
3,78,0.783398262032,0.216601737968
3,79,0.722633793671,0.277366206329
3,80,0.91143825051,0.0885617494903
3,81,0.678694229247,0.321305770753
3,82,0.530643653542,0.469356346458
3,83,0.869453193157,0.130546806843
3,84,0.848658014801,0.151341985199
3,85,0.822143551114,0.177856448886
3,86,0.862302227903,0.137697772097
3,87,0.839098521093,0.160901478907
3,88,0.866092276395,0.133907723605
3,89,0.68850076925,0.31149923075
3,90,0.919709638683,0.0802903613171
3,91,0.879091061848,0.120908938152
3,92,0.808906337895,0.191093662105
3,93,0.843576634677,0.156423365323
3,94,0.755235844557,0.244764155443
3,95,0.741599620888,0.258400379112
3,96,0.791650243863,0.208349756137
3,97,0.763103479458,0.236896520542
3,98,0.893042801909,0.106957198091
3,99,0.673395659746,0.326604340254
3,100,0.82748209404,0.17251790596
3,101,0.839935709596,0.160064290404
3,102,0.879206376053,0.120793623947
3,103,0.784920221577,0.215079778423
3,104,0.680097125895,0.319902874105
3,105,0.750364714877,0.249635285123
3,106,0.793353375833,0.206646624167
